Complexity,Loss,Equation
1,497.67661058844135,"77.74568738463239"
3,490.84497954301787,"x1 * 0.08977881723118496"
4,117.62167867550859,"log(x1) * 12.537135643641074"
5,60.54218420800409,"(x1 * 0.04828441406144933) + 41.50823463998434"
6,30.68553855204029,"(log(x1) * 21.852065064614166) + -60.277872882914586"
7,11.479298140563872,"(log(x1) * log(x1)) * 1.9116032197417545"
8,7.0645821835575395,"(log(x1 + 94.61547880381464) * 32.52021590152202) + -135.37535365321082"
10,7.064582183557536,"((log(x1 + 94.61547999741691) - -6.058105639925833e-9) * 32.52021598876713) + -135.37535449474072"
11,3.9099587954763004,"log(x1) * (14.400437952197919 - exp(2.0848460286329975 - (x1 * 0.0021375907975925224)))"
13,3.8865470231233163,"log(x1 + -0.47787065425099423) * (14.40435738229625 - exp(2.082773013582959 - (x1 * 0.002131463939377304)))"
15,3.8731918994553682,"(log(x1 + -0.6355220311961707) * (14.14542086305165 - exp(2.106669017173398 - (x1 * 0.002156541577530048)))) + 1.811776800179397"
16,1.7358733799077615,"((x1 * -0.0065371154055259995) + (26.178788816064678 / exp(exp(0.24734022562943347 - (x1 * 0.0016057160282542612))))) * log(x1)"
18,1.6120051551883252,"(((x1 * -0.0061521825443630294) + (26.18837152366694 / exp(exp(0.16345015872369834 - (x1 * 0.0015496064956239657))))) * log(x1)) + -3.9288186599609283"
21,1.5693872561997262,"(log(x1 - log(x1)) * ((25.91597644549499 / exp(exp(0.241064723490058 - (x1 * 0.0016139601683217706)))) + (x1 * -0.00641279732538975))) + -0.007641744077782842"
22,1.5605082640159305,"(log(x1 + 0.05486244828167881) * ((28.711956542552798 / exp(exp(0.22624955012311676 - (x1 * 0.0014848522961422004)))) + ((x1 / 2.1397182582218495) * -0.015671437135653873))) - 4.092837861254479"
23,1.4914237798494299,"log(((x1 - 0.3978572048718775) * 0.9475255281411998) - log(x1)) * ((x1 * -0.006215538368748848) + (25.720877609351238 / exp(exp(0.21648180215485155 - (x1 * 0.0015990155597644285)))))"
25,1.466544750731382,"log(((x1 - 0.09791368445138807) * 0.832474522272929) - log(x1)) * (((x1 + -2.462384660936361) * -0.0063235659094746915) + (26.22453517927325 / exp(exp(0.2060965173409187 - (x1 * 0.0015843042531871496)))))"
27,1.3933590216289764,"((((x1 + -0.5583041906232934) * -0.006435402949268554) + (25.995413989618108 / exp(exp(0.23972237776611113 - ((x1 - 0.4075379486332191) * 0.0015840698731039173))))) * log(x1 - (log(x1) * 2.0340175636130944))) + 0.8716146615732356"
