Complexity,Loss,Equation
1,497.67661058844135,"77.74568738475116"
3,490.8449795430179,"x1 / 11.138484893600603"
4,42.039176914197554,"sqrt(x1) * 2.9429461145118654"
6,15.296285594638523,"(sqrt(x1) * 2.4082522918914693) - -15.534122213134653"
8,4.653434002602269,"sqrt(x1 * ((x1 * -0.0037917497078142296) + 12.50375819556087))"
10,4.379342865275173,"sqrt(((x1 * -0.003572663520413516) + 12.188945336583881) * (x1 + 7.579430424546464))"
11,4.374778931044628,"sqrt(((x1 * -0.003645127341428023) + 12.278955068573374) * (log(x1) + x1))"
12,4.330987759776034,"sqrt((((x1 * -0.0032509617003888356) + 11.416074818181547) * x1) - -1.625960094254374) + 2.67529046117863"
13,4.216420739036558,"sqrt((log(x1 * x1) + x1) * ((x1 * -0.0035024730819847023) + 12.059705486894442))"
14,2.1837296512483992,"(((x1 * -3.0107949875179633e-5) - -6.261339570818675) * (x1 + log(x1))) + (x1 * -6.180115624127935)"
16,2.1674832475956984,"(-6.18011562451588 * x1) + ((x1 + log(x1 - 0.6950002362151565)) * ((x1 * -3.010794987675925e-5) - -6.2613395712061015))"
17,1.9746684003001944,"(((x1 + log(x1)) * ((x1 * -3.595686707328734e-5) - -7.963104676207767)) + (x1 * -7.8558701781254365)) - sqrt(x1)"
19,1.9083838058199445,"((((x1 * -3.4478027581675046e-5) - -8.75630304753535) * ((x1 - 0.3823942578959651) + log(x1))) + (x1 * -8.652811726452077)) - sqrt(x1)"
21,1.9007999303981802,"((x1 * -8.586753801098832) + (((x1 - 0.334454831950494) + log(x1)) * ((x1 * -3.4473713953262165e-5) - -8.690295357192))) - sqrt(x1 + 2.4885041060765647)"
23,1.8999396851139572,"((x1 * -8.527985051509456) + ((((log(x1) + x1) - 0.33437370576629516) * ((x1 * -3.460924443004918e-5) - -8.63185961355863)) - sqrt(x1 + 2.752053295217473))) - -0.205643918276007"
28,1.7908593286333339,"((x1 * -11.28691094703907) + ((((x1 * -4.0607181653426756e-5) - -11.44351074377371) * (log(x1) + x1)) - sqrt(((x1 * 0.0020481853551212004) - -7.455178574662662) * (x1 + log(x1))))) - 2.170400278844899"
30,1.773405142324149,"(((log(x1 - log((x1 * sqrt(x1)) + -0.15613539548006358)) + (x1 - -0.13126732652388695)) * ((x1 * -3.498273866466862e-5) - -7.968759548421405)) - sqrt(log(x1) + x1)) + (x1 * -7.863498805322415)"
