Complexity,Loss,Equation
1,9.525841374544382e7,"34013.73823078604"
3,8.75242554970261e7,"x1 + 33263.238230814684"
4,8.046561206233123e6,"sqrt(x1) * 1287.538925097391"
6,2.927804664598778e6,"sqrt(x1 * 1.1100948279524033e6) + 6796.178472038447"
8,2.5521896873114877e6,"sqrt(x1 * (4545.585809653653 - x1)) / 0.04731247416124038"
9,890696.3520347438,"sqrt(3297.6214231511976 - x1) * (sqrt(x1) / 0.03711948978948739)"
10,890696.3519880695,"sqrt((3297.6164968659637 - x1) * (x1 * 8.847413682556747)) / 0.11041032667718044"
11,828582.2904622233,"((sqrt(3512.9106707026963 - x1) * sqrt(x1)) + 47.74232018576857) / 0.040114828521921476"
12,778336.7021713696,"(((x1 * -17.188277108510643) + 1971.3796168661877) * log(x1)) + (x1 * 145.82856617321235)"
14,417844.34871088766,"((x1 - log(x1)) * -2739.9715021356783) + (((x1 * -0.013181784354568897) + 2775.4214600068085) * x1)"
16,390192.9577436852,"((((x1 * x1) * -5.473510214753722e-6) + 3036.4468593919346) * x1) + ((x1 - log(x1)) * -3010.2783230724554)"
18,356747.53983147413,"(((((x1 * x1) * -5.117312123439927e-6) + 3533.1782253230613) * x1) + -2222.6823945008036) + ((x1 - log(x1)) * -3508.663578620629)"
20,356747.53983144433,"((x1 - log(x1)) * -3508.663950694522) + ((((((x1 * x1) * -5.117311844327432e-6) + 3533.1785961278174) * x1) + -1696.9889352227806) - 525.6951002452176)"
22,327094.6300663653,"((sqrt(x1) * -7588.556464452657) + (((x1 * -80.08274386702269) + 11756.534263096648) * log(x1 - log(x1 + -0.6438187783219556)))) + (x1 * 752.8318320128808)"
23,249694.84149830785,"((x1 * -1979.5382535865622) + 2004.2316622516105) + (log(x1) * ((x1 * 494.077556065689) + ((((x1 * -4.902424305819012) + 382.39067685110115) * 6.462984931842682) * log(x1))))"
25,249684.83280050464,"(((x1 * -1979.5382535865622) + 2004.2316622516105) + (log(x1) * ((x1 * 494.077556065689) + ((((x1 * -4.902424305819012) + 382.39067685110115) * 6.462984931842682) * log(x1))))) + 0.3542292340724322"
