Complexity,Loss,Equation
1,9.525841374544382e7,"34013.7382308842"
3,8.75242554970261e7,"x1 + 33263.23823076397"
4,8.046561206233123e6,"sqrt(x1) * 1287.5389250974094"
6,2.927804664598778e6,"6796.178465702267 - (sqrt(x1) * -1053.6103778490337)"
7,1.558216236136633e6,"-13558.408267540543 - (sqrt(sqrt(x1)) * -9551.633513935514)"
8,1.1071264705274627e6,"(sqrt(x1) * 1758.6168621171037) - (x1 * 15.20144105598702)"
10,1.105169151448092e6,"(-266.8987177339983 - (sqrt(x1) * -1781.5828456220772)) - (x1 * 15.646087710983586)"
12,895494.0879675527,"(sqrt(x1) * ((x1 - -1496.8399266763215) - (x1 * 1.2458436818503644))) + 1064.032210605201"
13,707451.03326672,"((3455.9764760291614 - (x1 * 10.41974603986845)) * sqrt(sqrt(x1))) + (x1 * 80.02745591942988)"
15,697500.0788422872,"(x1 * 80.02745591942988) + ((3455.9764760291614 - (x1 * 10.41974603986845)) * sqrt(sqrt(x1 + -0.7632150646344418)))"
19,471027.76782694267,"((sqrt(sqrt(x1)) * ((x1 - -5179.02607168599) - ((x1 * 0.0016227266562532738) * x1))) + (x1 * 18.118760583183146)) + -2531.6300090919935"
21,469384.48583166423,"((sqrt(sqrt(x1 + -0.09742083601459497)) * ((x1 - -5179.02607168599) - (x1 * (0.0016227266562532738 * x1)))) + (x1 * 18.118760583183146)) + -2531.6300090919935"
23,451851.8057687489,"(((sqrt(sqrt(x1 + -0.992544302130241)) * ((x1 - -4966.634400928638) - ((x1 * x1) * 0.0016561168457721507))) + (x1 * 17.84634852140846)) + x1) + -1857.209260118176"
24,357577.22532489354,"(((sqrt(x1) * (x1 - ((x1 - 2425.7243221954764) - (x1 * -0.8356819674463182)))) - (x1 * -135.59368778046488)) * sqrt(sqrt(x1))) + (x1 * -1003.71919038106)"
25,309319.2014536881,"(x1 * -783.5753567010768) + (sqrt(sqrt(x1)) * ((-6003.226332445431 - (sqrt(sqrt(x1)) * ((x1 - 6669.26386726164) - (x1 * -13.009312750508457)))) - (x1 * -194.0080292900238)))"
26,290043.3026445848,"(sqrt(sqrt(x1)) * ((-17918.872981246466 - (sqrt(sqrt(sqrt(x1))) * ((x1 - 17623.57706912198) - (x1 * -85.61865768182453)))) - (x1 * -338.18778563009545))) + (x1 * -839.3974739054102)"
28,289688.84752129135,"(((-17813.451750119195 - (sqrt(sqrt(sqrt(x1))) * ((x1 - 17724.977089994813) - (x1 * -86.84931466539614)))) - (x1 * -343.15757718873044)) * sqrt(sqrt(x1))) + ((x1 * -852.4142769761287) + -466.85549652334)"
