Complexity,Loss,Equation
1,9.525806927848324e7,"34020.22508071921"
3,8.750528838727392e7,"x1 + 33268.359657726156"
4,8.436199049680062e6,"sqrt(x1) * 1286.3958209943519"
6,3.159730289268803e6,"(sqrt(x1) * 1049.5564469344547) + 6888.452116223453"
7,1.6554870904881756e6,"(sqrt(sqrt(x1)) + -1.4135914890781334) * 9533.58375584918"
8,941881.797381292,"((x1 * -0.2739779296671274) + 1561.6884101663022) * sqrt(x1)"
10,894902.7559633441,"(sqrt(x1) * ((x1 * -0.24597032478734931) + 1497.0500241021957)) + 1061.4942289550493"
12,884540.7867359112,"(sqrt(x1) * ((x1 * -0.26025444470382275) + 1476.3394155598107)) + (x1 + 1178.4108679094766)"
14,764808.8141754529,"(sqrt(x1) * ((x1 * -0.5973527351079981) + 987.579118054558)) + ((x1 * 24.59951412928308) + 3937.586716501088)"
16,752614.9464558348,"((x1 * 24.611721768860413) + 3937.5868143283424) + (sqrt(x1 - 0.999996731971817) * ((x1 * -0.5975414692853177) + 987.5802985812301))"
18,698447.7877496466,"(((x1 * -1.4193732544659008) + 408.2786866209908) * sqrt(x1)) + (sqrt(sqrt(x1)) * ((x1 * 9.743658599415285) + 3219.4704837782942))"
25,680097.6953160497,"((sqrt(x1) * ((sqrt(sqrt(x1)) * 836.4693544062822) + -3965.632975736975)) + ((((x1 * -7.593147556667535) + 11702.666270224863) * sqrt(sqrt(x1))) - 5539.764104248539)) - sqrt(x1)"
27,679684.158263869,"((sqrt(x1) * ((sqrt(sqrt(x1)) * 774.8183808309711) + -3281.839098759049)) + ((((x1 * -7.498207112480896) + 9166.393429195052) * sqrt(sqrt(x1 - 0.8752135670245977))) - 2455.759997361499)) - sqrt(x1)"
28,664297.5919684711,"(((x1 * 35.58615151727055) + ((sqrt(x1 - (x1 / x1)) * ((x1 * -0.7351842742008402) + 711.7912326343322)) + 4588.48320807801)) + (501.4973461585111 - ((11306.968771462041 / x1) - 500.24666994798724))) + 500.6461152414463"
