Complexity,Loss,Equation
1,7.459457410068509e7,"38536.239859409136"
3,6.42223940183215e7,"x1 + 37135.24021638806"
4,1.3153488989588864e7,"log(x1) * 5609.7468651143745"
6,5.478975392496108e6,"(log(x1) * 8371.05636979375) + -19554.510602507766"
7,2.6593753491884386e6,"-49425.356953971794 / ((-247.77774865241062 - x1) / x1)"
9,2.3103907891872693e6,"-50199.800936039996 / ((-308.410067150739 - x1) / (x1 + 26.596680700892865))"
10,2.2675353623395083e6,"exp((x1 / (x1 + 191.85736321317074)) + 10.18181116981763) - 21722.948228957066"
11,1.8323031054013837e6,"((-49109.74870406082 / ((-353.73672298234567 - x1) / x1)) - -4371.377114439905) - x1"
12,1.7817305106631273e6,"exp((x1 / (x1 + 222.44797084174874)) + 10.239033613625734) - (x1 + 22722.83251141825)"
14,1.3003535988774511e6,"(-32198.430590200234 / (((-516.2237340675392 - x1) / x1) + (17.913439155764454 / sqrt(x1)))) - -6662.9853451092895"
15,732425.2550427123,"(((-581.166785651495 / ((-811.2441381259137 - x1) / x1)) + 63.05622844402174) * 126.13358515528984) + (x1 * -7.868144770692577)"
17,732425.2550427115,"(x1 * -8.868144783267693) + ((((-593.0647810443645 / ((-811.2441390547135 - x1) / x1)) + 64.34715338982106) * 123.60310823417922) + x1)"
18,708054.5823943543,"(((-927.6828988882706 / ((-910.0486419805196 - x1) / x1)) + 238.44298558194953) * 108.89034140255023) + (sqrt(x1 + 276.59129027018423) * -1070.242569325039)"
21,618436.1260812201,"(x1 + (x1 * -9.492693186814424)) + (((-216.0238625573761 / x1) + 126.66582373363133) * ((-598.0124656783902 / ((-891.4152098458669 - x1) / x1)) + 71.44726731337053))"
23,618436.1260812195,"x1 + ((x1 * -9.492693184942759) + ((((-598.0009582937402 / ((-891.4152098464035 - x1) / x1)) + 71.45861185498246) * ((-215.98956721048464 / x1) + 126.6683043081665)) + -1.6400201234689553))"
24,583295.7540173338,"(((-549.5482008390766 / ((-992.2322366563042 - x1) / x1)) + 66.09594704828444) * ((-286.49463832559303 / sqrt(x1)) + 146.91165452809182)) + (((x1 + -310.25316095103364) * -9.774640906448962) + 73.59062997324746)"
26,580608.5103969047,"((x1 + -34.64834161201598) * -10.00314115956276) + (((((-577.061697922865 / ((-930.3144826071144 - x1) / x1)) + 87.43191698870378) * ((-198.0721537818087 / sqrt(x1)) + 133.31694513660312)) + x1) + 73.77942612776017)"
28,579805.2434916163,"((((-581.4476189790598 / ((-939.8197918788727 - x1) / x1)) + 85.61719660593315) * ((-199.8389106799445 / sqrt(x1)) + 133.38569981751385)) + (x1 + (((x1 + -55.320839145593325) * -10.114016875377324) + 75.19151552919448))) + 0.6690908399116267"
