Complexity,Loss,Equation
1,7.461150137036552e7,"38534.37762364309"
3,6.424013008552031e7,"x1 + 37133.87762364604"
4,1.3157971412592188e7,"log(x1) * 5609.791642300012"
6,5.477410149928766e6,"(log(x1) * 8372.191088576084) + -19561.26340959225"
8,1.2201169483795448e6,"(sqrt(x1) * 1914.12017410967) - (x1 * 20.65637080899151)"
10,999036.5886602451,"((sqrt(x1) * 2092.344790036664) - (x1 * 23.182211063020443)) - 2829.5381104691646"
13,767741.4149602798,"sqrt((((x1 * (100.07942917552639 - sqrt(x1))) + -175696.13809606942) * x1) * -15.135538420325014)"
15,753117.3711860608,"sqrt((((101.97737979743124 - sqrt(x1 - -618.1714720805579)) * x1) + -162816.8636607773) * (x1 * -16.06973300693754))"
19,720189.4900463582,"sqrt(((x1 * -19.25708817267173) - 311.67205160988124) * ((x1 * (97.87424577435701 - sqrt(x1))) + (-162592.3042329725 - x1))) + -3251.2945005649726"
21,692245.1782223645,"(sqrt(((x1 * (96.64303819431093 - sqrt(x1))) + (-162850.07397239967 - x1)) * ((x1 * -21.67218537874027) - 698.5773929277316)) + -5572.664300791486) - x1"
