Complexity,Loss,Equation
1,7.461150137036552e7,"38534.377623650435"
3,6.424013008552031e7,"x1 + 37133.87758531287"
4,4.584686271527033e7,"sqrt(x1 * 1.0808017821356768e6)"
5,2.8102269641903598e7,"(x1 * 8.43727495493658) + 26717.97404924557"
6,5.47741014992877e6,"(log(x1) + -2.336456872857871) * 8372.191088611295"
8,5.061895494069521e6,"(log(x1 + 9.084363140457539) + -2.6056859006153483) * 8848.693628759502"
9,4.781700637086289e6,"15908.118537006025 - ((-31.58471716541734 - (x1 * -0.008263992220824343)) * x1)"
10,2.826525632381451e6,"13294.411236042539 - (((sqrt(x1) * 0.7919767703431766) + -51.551081859581174) * x1)"
12,1.7048140967950153e6,"40593.010267097954 - ((x1 - 1041.092878399021) * ((sqrt(x1) * 0.5906882317654644) + -31.187585518429678))"
14,580818.7377269462,"9869.726534225445 - (x1 * ((x1 * ((sqrt(x1) * -0.0005592365053108403) + 0.046702728235634414)) + -60.30152947824723))"
16,580818.4829200023,"9869.726534247242 - (((((sqrt(x1) * -0.0005592365054047218) + 0.046702728239074044) * (x1 + -0.02001637850085171)) + -60.30152947821828) * x1)"
25,524819.546440348,"7230.044576850189 - ((x1 * ((x1 * ((sqrt(x1) * -0.0002424680774350491) + 0.0067801215202597685)) + -50.56053726142096)) - ((x1 * ((sqrt(x1) * -1.681140167839726) + 34.155762985978534)) + 1306.7098727558657))"
28,513369.59406289237,"9342.143376234115 - ((x1 * ((x1 * ((sqrt(x1) * -0.0002989741782536261) + 0.01936796062716277)) + -85.35483890614782)) - (((x1 * ((sqrt(sqrt(x1)) * -12.058381980537305) + 25.0999907568115)) + -587.884687198241) - 527.7919599141799))"
